n_control,n_test,mean_control,mean_test,var_control,var_test,diff,se,z,info,look_n,t,boundary_z,p_value,crossed
964,1036,8.881784197001252e-16,0.10103447455438674,0.9710584589339857,0.9976675950017786,0.10103447455438586,0.04438830546338935,2.276150745103735,507.5313434000547,2000,0.10074127672336522,6.175105272126297,0.02283698875630563,False
1937,2063,0.0028050395167671088,0.07042214260429222,0.9687164088602319,0.9927245815039656,0.06761710308752511,0.03132596490677823,2.1585002501517296,1019.0396581598166,4000,0.20227195330839248,4.357930068085978,0.030888958983300352,False
2964,3036,0.014479773033947381,0.09240457708519388,1.0184637466721622,0.9933639418067454,0.0779248040512465,0.02589992711975853,3.0086881592728205,1490.743471089621,6000,0.2959017260658375,3.603083623834637,0.0026237827430674334,False
3965,4035,0.0120043107941472,0.09148008856800442,1.0084112374489391,0.9946452450542547,0.07947577777385723,0.022379289057708484,3.5513093185809677,1996.675221366052,8000,0.3963254951995587,3.1133079851555547,0.0003833196339507276,True
5960,6040,0.01439277111070381,0.1103184016170067,1.0013655889574653,0.9954402736736985,0.0959256305063029,0.018243419440812505,5.258094888270062,3004.6058845099387,12000,0.5963923938732542,2.537944046174244,1.4555541478408083e-07,True
7967,8033,0.0036215991850276786,0.1194329882475694,0.9961933010864465,1.0006931799800414,0.11581138906254172,0.015799137229608073,7.3302350235624,4006.2058179299056,16000,0.7952026887858781,2.1979062859713454,2.297494626998992e-13,True
9947,10053,0.008956270309070376,0.12237610523313629,0.9890666411657938,0.9958407025207335,0.1134198349240659,0.014088744435776849,8.050386281125837,5037.968148783065,20000,1.0,1.959963984540054,8.253313012554583e-16,True
